,age group,sample,lithology,sio2,tio2,al2o3,fe2o3*,fe2o3,feo,mno,mgo,cao,na2o,k2o,p2o5,h2o+,total,[mg #],fe #,nb_ppm,ta_ppm,zr_ppm,y_ppm,hf_ppm,sr_ppm,rb_ppm,ba_ppm,u_ppm,th_ppm,pb_ppm,ga_ppm,ni_ppm,cr_ppm,v_ppm,co_ppm,sc_ppm,cs_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,longitude,latitude,age
0,Oligocene,AM-04-18,quartz monzonite,70.21,0.36,14.46,3.23,0.89,2.08,0.07,0.66,2.72,3.24,3.43,0.08,1.03,99.24,0.36,0.76,13.8,1.2,167,32.9,5.3,130,120.7,650.3,3.0,13.5,23.6,17,2,14,36,4,6,1.8,31.9,62.6,7.2,26.6,5.1,1.2,5.1,0.7,6.3,1.1,3.7,0.7,3.7,0.7,-77.4,-8.1,30.3
1,Oligocene,SC-AM-05-04, granodiorite,65.64,0.40,17.16,3.93,1.95,1.76,0.13,1.12,4.71,4.35,2.00,0.20,0.61,100.03,0.53,0.61,20.4,1.9,196,14.6,4.7,948,72.1,950.3,2.0,9.1,12.4,22,4,11,47,10,12,1.3,35.6,60.7,7.1,29.0,5.2,1.4,4.5,0.5,3.7,0.6,2.1,0.2,1.6,0.2,-74.6,-12.5,30.3
2,Oligocene,SC-AM-05-08, granodiorite,63.58,0.57,17.34,4.91,1.67,2.89,0.12,1.62,5.23,4.41,1.91,0.29,0.80,100.43,0.50,0.64,21.5,1.9,198,13.7,4.6,1039,60.3,1486.7,1.3,6.0,5.8,22,5,15,71,13,11,1.3,36.8,63.2,7.1,28.4,4.7,1.5,4.5,0.4,2.8,0.6,1.3,0.2,1.5,0.2,-74.6,-12.5,30.3
3,E. Jurassic (S),COCA 263,nepheline syenite,56.82,0.16,19.64,4.14,3.33,0.66,0.17,0.18,0.95,10.27,5.33,0.04,1.95,99.49,0.32,0.79,113.1,3.7,1370,44.9,4.4,34,264.3,147.4,5.3,28.8,13.9,44,7,5,5,2,2,27.9,35.6,70.9,6.9,23.6,5.4,0.2,3.3,0.8,5.8,1.0,4.0,0.6,4.5,0.7,-70.1,-14.0,184.0
4,E. Jurassic (S),COCA 303,nepheline-bearing syenite,54.40,0.68,21.00,5.01,4.71,0.18,0.20,0.83,1.84,8.66,5.11,0.29,2.01,99.92,0.89,0.18,85.7,8.1,452,25.5,8.3,659,78.3,724.9,2.0,6.3,28.9,28,2,2,4,2,3,27.6,79.1,150.8,16.0,57.2,10.1,2.7,8.1,1.2,6.8,1.2,3.2,0.5,3.4,0.5,-70.2,-13.9,184.0
5,E. Jurassic (S),COCA 304,nepheline-alkali feldspar syenite,54.45,0.69,21.27,3.52,2.12,1.23,0.12,0.59,1.45,6.62,9.27,0.22,1.04,99.07,0.46,0.67,95.2,4.7,195,17.9,4.3,271,235.3,537.4,2.2,4.0,4.2,24,3,2,5,2,4,4.5,49.8,96.5,9.6,36.3,6.3,1.4,5.3,0.7,3.8,0.7,2.1,0.3,1.8,0.2,-70.2,-13.9,184.0
6,E. Jurassic (S),COCA 305a,nepheline-bearing syenite,54.26,0.56,21.07,3.12,2.95,0.05,0.12,1.27,1.44,5.31,8.42,0.15,3.45,99.05,0.98,0.04,87.6,5.3,262,16.8,5.4,480,188.8,527.7,1.4,3.4,58.5,25,2,2,3,2,2,37.5,40.3,80.9,8.7,29.2,4.7,1.4,4.4,0.6,3.8,0.6,1.7,0.3,1.6,0.2,-70.4,-13.8,184.0
7,E. Jurassic (S),COCA 58,nepheline-bearing syenite,53.95,0.31,21.09,4.37,0.70,3.24,0.15,0.44,1.12,10.01,5.94,0.20,1.96,99.12,0.20,0.88,215.4,12.9,1207,32.7,23.1,288,213.8,299.8,5.9,16.5,152.0,36,3,2,5,2,2,4.4,66.5,128.1,12.0,38.3,6.4,1.1,6.1,0.8,6.9,1.4,4.5,0.7,4.9,0.8,-70.4,-14.2,184.0
8,Early Jurassic (S),COCA 59,nepheline monzosyenite,54.21,0.24,21.66,4.32,2.37,1.61,0.13,0.53,1.28,6.15,7.05,0.14,3.90,99.27,0.37,0.75,197.7,12.7,1081,22.2,20.0,513,234.6,511.7,6.4,13.8,105.1,35,3,2,2,2,3,23.0,57.7,109.6,11.1,30.9,5.6,1.2,4.2,0.7,4.4,0.8,2.6,0.5,3.7,0.6,-70.4,-14.3,184.0
9,Early Jurassic (S),COCA 60,nepheline monzosyenite,55.03,0.83,18.71,4.04,2.77,1.10,0.10,0.73,2.54,9.57,6.15,0.27,1.38,99.17,0.54,0.60,136.6,9.3,440,14.3,7.2,348,211.2,493.4,6.7,4.7,10.5,23,4,5,17,3,3,2.1,37.4,68.4,7.2,22.7,3.5,1.0,2.7,0.4,2.9,0.5,1.5,0.2,1.7,0.2,-70.4,-14.3,184.0
10,Early Jurassic (S),COCA 62a,nepheline-bearing syenite,57.94,1.64,16.01,9.19,5.16,3.62,0.10,1.50,2.35,7.96,1.92,0.51,0.52,99.22,0.42,0.71,141.0,7.8,391,77.2,12.2,182,30.7,148.0,1.2,15.9,4.6,32,2,2,17,2,10,1.6,93.0,194.6,22.8,90.6,17.1,5.8,16.3,2.3,15.7,3.0,8.2,1.2,6.8,1.1,-70.4,-14.0,184.0
11,Early Jurassic (S),S-AM-06-20,nepheline monzosyenite,52.87,2.26,16.42,9.53,3.42,5.42,0.20,3.19,5.16,5.54,3.01,0.78,1.43,99.71,0.51,0.63,64.9,4.8,226,38.6,4.9,816,100.6,600.9,1.5,5.1,5.4,25,13,18,140,15,16,10.9,71.0,132.5,14.0,55.7,10.2,3.0,8.6,1.3,7.6,1.4,3.8,0.5,3.2,0.5,-70.5,-13.8,184.0
12,E. Jurassic (S),S-AM-06-21,nepheline-alkali feldspar syenite,56.78,0.57,21.40,3.51,2.31,1.01,0.10,0.56,1.85,6.33,6.17,0.20,2.35,99.62,0.50,0.64,93.8,6.4,450,20.1,7.7,718,219.7,413.6,8.5,26.1,16.9,29,3,2,11,5,3,37.9,47.0,83.9,8.4,28.6,5.0,1.3,4.0,0.5,3.8,0.7,2.0,0.3,2.3,0.4,-70.5,-13.8,184.0
13,Early Jurassic (N),N-AM-05-11a, quartz syenite,64.94,0.56,15.65,4.75,1.18,3.18,0.09,1.95,4.49,2.73,3.51,0.11,1.16,99.55,0.52,0.62,12.0,1.3,155,16.0,5.0,496,574.0,145.7,1.7,22.1,10.6,18,5,30,82,16,13,4.9,34.9,57.2,6.5,26.7,6.0,1.2,4.3,0.6,3.2,0.6,1.7,0.2,2.0,0.3,-77.3,-8.2,184.0
14,Early Jurassic (N),AM-04-145, quartz syenite,67.55,0.34,16.04,3.29,1.42,1.67,0.06,0.23,2.04,3.91,4.77,0.03,0.71,98.76,0.20,0.88,18.3,1.0,409,37.2,12.5,167,114.1,2979.3,2.0,22.5,15.8,19,2,13,2,3,11,2.5,152.6,295.4,30.8,112.2,15.6,3.3,11.9,1.7,8.1,1.6,4.7,0.6,4.3,0.7,-77.5,-7.9,184.0
15,Early Jurassic (N),AM-04-147, quartz syenite,77.58,0.08,12.72,0.75,0.19,0.50,0.01,0.12,0.65,3.43,4.63,0.10,0.41,100.41,0.30,0.81,21.2,2.3,106,48.1,5.5,66,176.6,386.8,4.9,23.6,16.0,17,2,17,2,2,2,1.5,22.4,53.6,6.8,30.4,7.0,0.5,9.8,1.5,9.3,2.1,6.1,0.9,6.9,1.2,-77.5,-7.9,184.0
16,Early Jurassic (N),COCA 268, granodiorite,71.27,0.48,13.79,3.14,1.20,1.74,0.06,0.85,2.26,3.57,3.29,0.17,0.61,99.28,0.46,0.67,32.5,3.8,192,36.5,5.7,131,237.2,240.0,10.0,17.4,14.4,19,10,15,38,8,8,21.0,33.6,64.6,6.9,26.4,5.9,0.9,5.6,0.8,5.4,1.3,3.7,0.6,4.0,0.6,-70.1,-14.0,184.0
17,Late Triassic,COCA 358, granite,69.71,0.46,15.10,3.53,0.89,2.37,0.07,0.96,2.27,3.19,3.90,0.20,0.75,99.87,0.42,0.71,19.3,1.8,159,33.8,4.4,143,214.0,567.0,5.7,11.2,23.5,19,9,19,40,9,6,14.7,35.5,69.8,7.9,29.5,5.5,1.3,5.8,1.0,5.4,1.3,3.0,0.5,3.5,0.5,-69.7,-14.1,203.0
